unit i,unit j,Annual capital cost per metre of pipe (GBP/m.yr),Total Rectilinear Distance (m),Piping Cost (GBP/yr),Total Piping Cost (GBP/yr),Inner Pipe Diameter (m),Pressure Drop (N/m^2),Power of Pump (W),Pumping Cost (GBP/yr),Total Pumping Cost (GBP/yr)
wash_water_cooler_T2,wash_water_cooler_T1,0.0,29.00000000300007,0.0,,0.0,0.0,0.0,0.0,
wash_water_cooler_T2,rich_pump_T1_1,0.0,33.16100000300007,0.0,,0.0,0.0,0.0,0.0,
wash_water_cooler_T2,rich_pump_T1_2,0.0,39.78900000300007,0.0,,0.0,0.0,0.0,0.0,
wash_water_cooler_T2,absorber_T2,73.0,20.50600000000082,1496.93800000006,,0.174,0.0,0.0,0.0,
wash_water_cooler_T2,wash_water_pump_T2_1,0.0,8.89200000000028,0.0,,0.0,0.0,0.0,0.0,
wash_water_cooler_T2,wash_water_pump_T2_2,0.0,5.164000000000214,0.0,,0.0,0.0,0.0,0.0,
wash_water_cooler_T2,wash_water_cooler_T2,0.0,,0.0,,0.0,0.0,0.0,0.0,
wash_water_cooler_T2,rich_pump_T2_1,0.0,14.279500000000276,0.0,,0.0,0.0,0.0,0.0,
wash_water_cooler_T2,rich_pump_T2_2,0.0,17.79800000000027,0.0,,0.0,0.0,0.0,0.0,
rich_pump_T2_1,absorber_T1,0.0,31.929500000000218,0.0,,0.0,0.0,0.0,0.0,
rich_pump_T2_1,wash_water_pump_T1_1,0.0,23.61250000300022,0.0,,0.0,0.0,0.0,0.0,
rich_pump_T2_1,wash_water_pump_T1_2,0.0,19.88450000300022,0.0,,0.0,0.0,0.0,0.0,
rich_pump_T2_1,wash_water_cooler_T1,0.0,25.048500003000218,0.0,,0.0,0.0,0.0,0.0,
rich_pump_T2_1,rich_pump_T1_1,0.0,29.20950000300022,0.0,,0.0,0.0,0.0,0.0,
rich_pump_T2_1,rich_pump_T1_2,0.0,35.83750000300022,0.0,,0.0,0.0,0.0,0.0,
rich_pump_T2_1,absorber_T2,0.0,17.001500000000004,0.0,,0.0,0.0,0.0,0.0,
rich_pump_T2_1,wash_water_pump_T2_1,0.0,5.387499999999999,0.0,,0.0,0.0,0.0,0.0,
rich_pump_T2_1,wash_water_pump_T2_2,0.0,9.115500000000065,0.0,,0.0,0.0,0.0,0.0,
rich_pump_T2_1,wash_water_cooler_T2,0.0,14.279500000000276,0.0,,0.0,0.0,0.0,0.0,
rich_pump_T2_1,rich_pump_T2_1,0.0,,0.0,,0.0,0.0,0.0,0.0,
rich_pump_T2_1,rich_pump_T2_2,57.0,6.837500000000008,389.73750000000047,,0.15,26340.839700000033,2333.7755000000034,840.1591800000014,
rich_pump_T2_2,absorber_T1,0.0,35.44800000000021,0.0,,0.0,0.0,0.0,0.0,
rich_pump_T2_2,wash_water_pump_T1_1,0.0,23.83399999700021,0.0,,0.0,0.0,0.0,0.0,
rich_pump_T2_2,wash_water_pump_T1_2,0.0,20.105999997000207,0.0,,0.0,0.0,0.0,0.0,
rich_pump_T2_2,wash_water_cooler_T1,0.0,18.21100000300021,0.0,,0.0,0.0,0.0,0.0,
rich_pump_T2_2,rich_pump_T1_1,0.0,29.01199999700021,0.0,,0.0,0.0,0.0,0.0,
rich_pump_T2_2,rich_pump_T1_2,0.0,32.73999999700021,0.0,,0.0,0.0,0.0,0.0,
rich_pump_T2_2,absorber_T2,0.0,23.839000000000013,0.0,,0.0,0.0,0.0,0.0,
rich_pump_T2_2,wash_water_pump_T2_1,0.0,12.225000000000009,0.0,,0.0,0.0,0.0,0.0,
rich_pump_T2_2,wash_water_pump_T2_2,0.0,15.953000000000074,0.0,,0.0,0.0,0.0,0.0,
rich_pump_T2_2,wash_water_cooler_T2,0.0,17.79800000000027,0.0,,0.0,0.0,0.0,0.0,
rich_pump_T2_2,rich_pump_T2_1,0.0,6.837500000000008,0.0,,0.0,0.0,0.0,0.0,
rich_pump_T2_2,rich_pump_T2_2,0.0,,0.0,,0.0,0.0,0.0,0.0,
,,,,,8705.398000608897,,,,,
,,,,,,,,,,14545.973320608873
